                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.66218,                0.74358,                 1.0837,                 0.4244,                0.23069,                0.13406,                0.07637,                 1.8589,                 5.1459,                  2.146,               0.000948,               0.000948,               0.000948
                     36,                0.73662,                0.88321,                 1.1555,                0.41655,                0.22106,                0.18686,                0.12224,                 1.6925,                 4.0294,                 2.0381,             0.00093385,             0.00093385,             0.00093385
                     37,                0.68207,                0.82775,                 1.1289,                0.41655,                0.22106,                0.18686,                0.12224,                 1.6925,                 4.0294,                 2.0381,              0.0009197,              0.0009197,              0.0009197
                     38,                0.64663,                0.82513,                 1.0705,                0.29795,                0.38042,                0.24322,                 0.1613,                 1.5434,                  3.258,                 1.9059,             0.00090556,             0.00090556,             0.00090556
                     39,                 0.6201,                0.82498,                 1.0136,                0.38656,                0.46784,                0.30655,                0.20715,                 1.4546,                 3.3847,                 1.9773,             0.00089141,             0.00089141,             0.00089141
                     40,                0.63693,                0.81494,                 1.0998,                0.45985,                0.31005,                0.25697,                0.18657,                 1.4306,                  3.258,                  1.939,             0.00087726,             0.00087726,             0.00087726
                     41,                0.59593,                0.73083,                 1.0483,                0.45985,                0.31005,                0.25697,                0.18657,                 1.4306,                  3.258,                  1.939,             0.00086312,             0.00086312,             0.00086312
                     42,                0.63984,                0.76313,                 1.0802,                0.55518,                0.43097,                0.28807,                  0.222,                 1.4469,                 3.2549,                 1.8164,             0.00084897,             0.00084897,             0.00084897
                     43,                0.63609,                 0.7525,                 1.0462,                0.69133,                    0.4,                0.35878,                0.25487,                 1.2885,                 2.8838,                 1.6997,             0.00083482,             0.00083482,             0.00083482
                     44,                0.60513,                0.68371,                 1.0342,                0.60576,                  0.368,                0.36768,                0.25343,                 1.1661,                 2.9123,                 1.6163,             0.00082067,             0.00082067,             0.00082067
                     45,                0.58583,                0.74123,                 1.0487,                0.60576,                  0.368,                0.36768,                0.25343,                 1.1661,                 2.9123,                 1.6163,             0.00080653,             0.00080653,             0.00080653
                     46,                0.56169,                0.64866,                 1.0103,                0.58346,                0.64853,                0.48158,                0.36886,                 1.0434,                 2.3009,                 1.4933,             0.00079238,             0.00079238,             0.00079238
                     47,                0.60769,                0.61488,                 1.0332,                0.49784,                0.49471,                0.40125,                0.32555,                 1.0578,                 2.2314,                 1.5163,             0.00077823,             0.00077823,             0.00077823
                     48,                0.54498,                0.59046,                0.98911,                0.46554,                0.50212,                 0.3966,                0.28878,                 1.1602,                 2.4508,                 1.5767,             0.00076409,             0.00076409,             0.00076409
                     49,                0.65851,                0.64052,                 1.0745,                0.46554,                0.50212,                 0.3966,                0.28878,                 1.1602,                 2.4508,                 1.5767,             0.00074994,             0.00074994,             0.00074994
                     50,                0.61237,                0.75644,                 1.0672,                0.58974,                0.39739,                0.45319,                0.31931,                  1.134,                 2.6036,                 1.5415,             0.00073579,             0.00073579,             0.00073579
                     51,                0.55485,                0.72275,                 1.0193,                0.57723,                0.49841,                 0.5073,                0.37159,                 1.0531,                  2.251,                 1.5096,             0.00072164,             0.00072164,             0.00072164
                     52,                0.56847,                0.61399,                 1.0399,                0.42262,                0.62804,                0.46107,                0.34204,                 1.0961,                 2.4031,                 1.5422,              0.0007075,              0.0007075,              0.0007075
                     53,                0.70247,                0.76058,                 1.1528,                0.42262,                0.62804,                0.46107,                0.34204,                 1.0961,                 2.4031,                 1.5422,             0.00069335,             0.00069335,             0.00069335
                     54,                0.57619,                0.62354,                  1.031,                0.47327,                0.55926,                0.49168,                0.38332,                 1.0772,                 2.3237,                 1.5168,              0.0006792,              0.0006792,              0.0006792
                     55,                0.53783,                0.61086,                 1.0282,                 0.5227,                0.59453,                0.51143,                 0.3904,                 1.0607,                 2.2899,                 1.5357,             0.00066506,             0.00066506,             0.00066506
                     56,                0.56384,                0.57678,                 1.0077,                0.50949,                0.56286,                0.46681,                0.35997,                 1.1237,                 2.3076,                 1.6171,             0.00065091,             0.00065091,             0.00065091
                     57,                0.51314,                0.54853,                 1.0181,                0.50949,                0.56286,                0.46681,                0.35997,                 1.1237,                 2.3076,                 1.6171,             0.00063676,             0.00063676,             0.00063676
                     58,                0.51667,                0.59565,                 1.0156,                  0.524,                0.59999,                0.48456,                0.34276,                  1.206,                 2.3825,                 1.6809,             0.00062262,             0.00062262,             0.00062262
                     59,                0.54887,                 0.5679,                 1.0446,                0.61764,                0.51794,                0.45968,                0.35949,                 1.1216,                 2.3407,                 1.5648,             0.00060847,             0.00060847,             0.00060847
                     60,                0.54589,                0.54203,                 1.0069,                0.47928,                0.67582,                0.55174,                0.38091,                 1.1469,                 2.1055,                 1.5808,             0.00059432,             0.00059432,             0.00059432
