                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2143,                 1.6693,                 1.2702,                0.65019,                0.52625,                0.61437,                0.45511,                 1.0826,                 1.1186,                 1.1247,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                  1.202,                 1.4412,                  1.231,                 0.6652,                0.53312,                0.62259,                0.46346,                 1.0777,                 1.0897,                 1.1228,              1.196e-05,              1.196e-05,              1.196e-05
                      3,                 1.1644,                 1.3984,                 1.2561,                0.66751,                0.53299,                0.63037,                0.47017,                 1.0787,                 1.0801,                 1.1231,             9.3058e-06,             9.3058e-06,             9.3058e-06
